m_kg,lower_kg,upper_kg,m_p,lower_p,upper_p,fungicide
386.8249355994951,287.7704704240685,485.87940077492175,13.941840090330725,10.069375432639372,17.950545936510043,AZOX + DIFE
381.46176658140763,281.65198840296415,481.27154475985117,14.104431409164242,10.264453042951471,18.078137676310213,FLUO + FLUT
159.6549585783292,99.53117249715338,219.77874465950504,4.388950111230727,2.573632641156909,6.236394526917199,PYRA
333.3120702852566,236.17379353795067,430.4503470325625,11.828922522187835,8.075679003149205,15.712508381363822,PYRA + FLUX + PROP
325.2595151678772,249.7945926174505,400.72443771830393,11.567270846497578,8.82658716130691,14.376975781533542,TFLX + PROT
378.6642160788146,266.2627664071573,491.0656657504719,13.923503490123256,9.598386791324053,18.41930367255664,TFLX + PROT + PROT
354.6023269862036,237.0026265979778,472.2020273744294,12.71047555706717,7.871582394348198,17.766431328125478,TMET
362.8900065918411,246.24952852456948,479.53048465911274,12.881558450459018,8.299823645222503,17.657128232696827,TMET + TEBU
327.5362305098449,245.8656773610524,409.2067836586375,11.297227487002704,8.15786423102276,14.527713119733221,TTRA
