efficacy,efficacy_up,efficacy_lw,fungicide
50.9285203859563,55.41210927919052,45.9940788276026,AZOX + DIFE
57.28958752931845,62.85251122889199,50.89360293892784,DIFE + PYDI
11.067516417581235,18.158008804100444,3.3627295649981903,PYRA
40.534256782351065,46.39874516545658,34.028137450460086,PYRA + FLUX + PROP
50.72862313066756,56.35013342291075,44.383138621687976,TFLX + PROT
49.82134083447237,54.27398790031908,44.93510979787017,TMET
52.75158207266089,57.08226839945036,47.98390051425948,TMET + TEBU
44.409432263024065,49.28899644964845,39.060341839796095,TTRA
